Ice Sample    Analysis    Mean Ice Depth,    Ice Age,    Mean Air Age,    CO2 Mixing Ratio,
   Code         Date             m           year A.D.     year A.D.             ppm                    


DE08 205     20-Aug-92         83.10           1939          1969               323.2
DE08 235     12-Aug-93         83.98           1938          1968               323.7
DE08 225      2-Aug-93         89.15           1935          1965               319.5
DE08 226      2-Aug-93         89.00           1935          1965               318.8
DE08 203      5-Aug-92         91.95           1933          1963               318.2
DE08 212     14-Jul-93         93.00           1932          1962               318.7
DE08 213     14-Jul-93         93.15           1932          1962               317.0
DE08 214     15-Jul-93         92.68           1932          1962               319.4
DE08 215     15-Jul-93         92.84           1932          1962               317.0
DE08 201     27-Jul-92        104.44           1923          1953               311.9
DE08 208     13-Nov-92        104.61           1923          1953               311.0
DE08 236     12-Aug-93        104.29           1923          1953               312.7
DE08 227      2-Aug-93        115.66           1914          1944               309.7
DE08 243      8-Oct-93        121.80           1909          1939               311.0
DE08 240     19-Aug-93        121.90           1908          1938               310.5
DE08 238     13-Aug-93        130.27           1902          1932               307.8
DE08 231     10-Aug-93        138.79           1894          1924               304.8
DE08 237     13-Aug-93        138.79           1894          1924               304.1
DE08 233     11-Aug-93        149.86           1885          1915               301.3
DE08 239     17-Aug-93        153.00           1882          1912               300.7
DE08 253     19-Jul-95        160.70           1875          1905               296.9
DE08 254      3-Aug-95        160.90           1875          1905               298.5
DE08 230     10-Aug-93        167.86           1868          1898               294.7
DE08 241     19-Aug-93        174.39           1862          1892               294.6
DE08 252     19-Jul-95        179.50           1856          1886               293.7
DE08 229     10-Aug-93        184.31           1852          1882               291.9
DE08 255      3-Aug-95        190.30           1847          1877               288.8
DE08 228      6-Aug-93        197.54           1839          1869               287.4
DE08 232     11-Aug-93        206.09           1831          1861               286.6
DE08 234     12-Aug-93        214.10           1824          1854               284.9
DE08 200     26-Jun-92        218.02           1820          1850               285.2
DE08 222     29-Jul-93        228.74           1810          1840               283.0
DE08-2 008    9-Dec-93         81.11           1948          1978               335.2
DE08-2 012   15-Dec-93         81.30           1948          1978               332.0
DE08-2 003   17-Aug-93         85.05           1945          1975               331.2
DE08-2 002    6-Aug-93         87.96           1943          1973               328.1
DE08-2 005   24-Aug-93         90.55           1941          1971               324.1
DE08-2 015    3-Aug-95         91.69           1940.2        1970               325.2
DE08-2 016    3-Aug-95         92.30           1939.7        1970               324.7
DE08-2 009   15-Dec-93        120.27           1918          1948               309.9
DE08-2 007    9-Dec-93        128.79           1910          1940               310.5
DE08-2 011   15-Dec-93        135.82           1904          1934               309.2
DE08-2 006    9-Dec-93        242.81           1802          1832               284.5
DSS 004      13-Nov-92         78.02           1901          1959               315.7
DSS 001      20-Aug-92         81.82           1896          1954               313.6
DSS 002      21-Aug-92         81.82           1896          1954               314.7
DSS 003      21-Aug-92         81.82           1896          1954               314.1
DSS 029      24-Nov-93         86.19           1890          1948               311.4
DSS 037       7-Jun-95         92.86           1881          1939               309.2
DSS 027      18-Nov-93         94.13           1878          1936               307.9
DSS 041      15-Jun-95         99.82           1871          1929               305.2
DSS 008      13-Aug-93        100.32           1868          1926               305.0
DSS 033       2-Jun-95        114.45           1847          1905               299.0
DSS 007      11-Aug-93        116.89           1841          1899               296.5
DSS 030      24-Nov-93        122.82           1833          1891               294.7
DSS 009      20-Aug-93        151.56           1787          1845               286.1
DSS 010      20-Aug-93        163.51           1767          1825               285.1
DSS 015       8-Oct-93        179.97           1738          1796               283.7
DSS 016      14-Oct-93        181.34           1736          1794               281.6
DSS 017      14-Oct-93        190.88           1719          1777               279.5
DSS 031       2-Jun-95        200.64           1702          1760               276.7
DSS 014      23-Aug-93        206.50           1691          1749               277.2
DSS 025      10-Nov-93        207.58           1689          1747               276.9
DSS 019      21-Oct-93        223.01           1662          1720               277.5
DSS 011      20-Aug-93        238.00           1634          1692               276.5
DSS 020      21-Oct-93        245.63           1621          1679               275.9
DSS 013      23-Aug-93        263.35           1589          1647               277.2
DSS 012      23-Aug-93        285.20           1546          1604               274.3
DSS 021      28-Oct-93        293.20           1531          1589               278.7
DSS 032       2-Jun-95        302.14           1512          1570               281.9
DSS 018      21-Oct-93        313.93           1489          1547               282.8
DSS 035       7-Jun-95        323.84           1469          1527               283.2
DSS 023      10-Nov-93        336.73           1441          1499               282.4
DSS 044      30-Jun-95        351.30           1407          1465               279.6
DSS 022      28-Oct-93        360.64           1388          1446               281.7
DSS 024      10-Nov-93        387.13           1329          1387               280.0
DSS 026      18-Nov-93        387.20           1329          1387               280.4
DSS 034       5-Jun-95        414.22           1269          1327               283.4
DSS 039      14-Jun-95        447.34           1188          1246               281.7
DSS 036       9-Jun-95        467.85           1138          1196               283.9
DSS 043      30-Jun-95        488.46           1088          1146               283.8
DSS 042      15-Jun-95        506.03           1038          1096               282.4
DSS 040      14-Jun-95        523.56            988          1046               280.3
DSS 038      12-Jun-95        534.27            948          1006               279.4
